City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2015-01-01,153.3,241.7,182.9,33.0,81.3,38.5,1.87,64.5,83.6,18.93,20.81,8.32,204.5,Severe
Mumbai,2015-01-01,70.5,312.7,195.0,42.0,122.5,31.5,7.22,83.8,108.0,2.01,19.41,2.86,60.9,Satisfactory
Chennai,2015-01-01,174.1,275.4,56.2,68.8,230.9,28.5,8.56,60.8,43.9,19.07,10.19,9.63,486.5,Severe
Kolkata,2015-01-01,477.2,543.9,14.1,76.4,225.9,45.6,2.41,42.1,171.1,9.31,11.65,9.39,174.4,Very Poor
Bangalore,2015-01-01,171.6,117.7,123.3,12.4,61.9,49.7,1.26,79.7,164.3,6.04,12.74,9.59,489.7,Good
Delhi,2015-01-02,344.2,173.2,179.8,128.4,156.1,15.6,6.28,7.5,9.4,0.55,15.6,2.45,238.5,Satisfactory
Mumbai,2015-01-02,59.2,335.7,182.1,143.8,207.3,44.8,5.81,6.4,145.5,7.99,29.18,7.11,254.9,Good
Chennai,2015-01-02,418.9,573.8,23.8,17.5,43.0,22.5,4.49,9.5,198.7,1.89,17.93,2.91,171.7,Satisfactory
Kolkata,2015-01-02,329.8,599.3,139.1,34.0,75.2,24.1,3.63,63.4,111.2,8.95,28.51,1.88,139.8,Very Poor
Bangalore,2015-01-02,22.5,317.5,163.0,62.4,130.9,46.7,0.0,59.7,49.8,16.31,7.77,5.83,243.3,Moderate
Delhi,2015-01-03,473.9,20.1,12.7,102.7,244.7,42.5,0.04,29.8,42.0,1.87,15.11,2.41,77.6,Satisfactory
Mumbai,2015-01-03,191.0,200.5,21.5,141.3,235.8,8.6,8.54,89.0,129.8,10.37,4.99,8.19,37.9,Poor
Chennai,2015-01-03,86.6,531.8,99.1,92.8,62.4,49.8,1.12,9.9,45.5,4.02,1.55,7.48,394.8,Moderate
Kolkata,2015-01-03,393.0,422.5,28.9,112.1,149.9,40.6,5.72,3.7,60.8,2.02,16.7,0.47,491.8,Severe
Bangalore,2015-01-03,269.3,69.9,195.5,107.3,232.0,36.4,7.44,12.8,119.4,16.97,19.69,8.6,148.5,Severe
Delhi,2015-01-04,32.4,414.8,198.1,25.6,218.2,13.2,2.47,50.4,80.2,7.7,12.46,0.57,85.4,Satisfactory
Mumbai,2015-01-04,177.3,30.8,164.9,149.3,83.5,37.4,8.63,30.7,75.7,3.54,16.2,6.57,78.5,Severe
