City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Chennai,01/01/18,93,51.15,100.44,77.19,106.02,0.98,88.35
Chennai,02/01/18,100,55,108,83,114,1.05,95
Chennai,03/01/18,81,44.55,87.48,67.23,92.34,0.85,76.95
Chennai,04/01/18,169,92.95,182.52,140.27,192.66,1.77,160.55
Chennai,05/01/18,153,84.15,165.24,126.99,174.42,1.61,145.35
Chennai,06/01/18,157,86.35,169.56,130.31,178.98,1.65,149.15
Chennai,07/01/18,123,67.65,132.84,102.09,140.22,1.29,116.85
Chennai,08/01/18,128,70.4,138.24,106.24,145.92,1.34,121.6
Chennai,09/01/18,107,58.85,115.56,88.81,121.98,1.12,101.65
Chennai,10/01/18,108,59.4,116.64,89.64,123.12,1.13,102.6
Chennai,11/01/18,178,97.9,192.24,147.74,202.92,1.87,169.1
Chennai,12/01/18,158,86.9,170.64,131.14,180.12,1.66,150.1
Chennai,13/01/18,217,119.35,234.36,180.11,247.38,2.28,206.15
Chennai,14/01/18,154,84.7,166.32,127.82,175.56,1.62,146.3
Chennai,15/01/18,135,74.25,145.8,112.05,153.9,1.42,128.25
Chennai,16/01/18,135,74.25,145.8,112.05,153.9,1.42,128.25
Chennai,17/01/18,161,88.55,173.88,133.63,183.54,1.69,152.95
Chennai,18/01/18,110,60.5,118.8,91.3,125.4,1.16,104.5
Chennai,19/01/18,143,78.65,154.44,118.69,163.02,1.5,135.85
Chennai,20/01/18,129,70.95,139.32,107.07,147.06,1.35,122.55
Chennai,21/01/18,166,91.3,179.28,137.78,189.24,1.74,157.7
Chennai,22/01/18,150,82.5,162,124.5,171,1.58,142.5
Chennai,23/01/18,139,76.45,150.12,115.37,158.46,1.46,132.05
Chennai,24/01/18,130,71.5,140.4,107.9,148.2,1.37,123.5
Chennai,25/01/18,176,96.8,190.08,146.08,200.64,1.85,167.2
Chennai,26/01/18,158,86.9,170.64,131.14,180.12,1.66,150.1
Chennai,27/01/18,165,90.75,178.2,136.95,188.1,1.73,156.75
Chennai,28/01/18,154,84.7,166.32,127.82,175.56,1.62,146.3
