City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,,,,,,,,,,,,,
Hyderabad,01/01/18,119,65.45,128.52,98.77,135.66,1.25,113.05,,,,,,,,,,,,,
Hyderabad,02/01/18,117,64.35,126.36,97.11,133.38,1.23,111.15,,,,,,,,,,,,,
Hyderabad,03/01/18,156,85.8,168.48,129.48,177.84,1.64,148.2,,,,,,,,,,,,,
Hyderabad,04/01/18,169,92.95,182.52,140.27,192.66,1.77,160.55,,,,,,,,,,,,,
Hyderabad,05/01/18,148,81.4,159.84,122.84,168.72,1.55,140.6,,,,,,,,,,,,,
Hyderabad,06/01/18,146,80.3,157.68,121.18,166.44,1.53,138.7,,,,,,,,,,,,,
Hyderabad,07/01/18,139,76.45,150.12,115.37,158.46,1.46,132.05,,,,,,,,,,,,,
Hyderabad,08/01/18,142,78.1,153.36,117.86,161.88,1.49,134.9,,,,,,,,,,,,,
Hyderabad,09/01/18,153,84.15,165.24,126.99,174.42,1.61,145.35,,,,,,,,,,,,,
Hyderabad,10/01/18,155,85.25,167.4,128.65,176.7,1.63,147.25,,,,,,,,,,,,,
Hyderabad,11/01/18,152,83.6,164.16,126.16,173.28,1.6,144.4,,,,,,,,,,,,,
Hyderabad,12/01/18,151,83.05,163.08,125.33,172.14,1.59,143.45,,,,,,,,,,,,,
Hyderabad,13/01/18,148,81.4,159.84,122.84,168.72,1.55,140.6,,,,,,,,,,,,,
Hyderabad,14/01/18,137,75.35,147.96,113.71,156.18,1.44,130.15,,,,,,,,,,,,,
Hyderabad,15/01/18,143,78.65,154.44,118.69,163.02,1.5,135.85,,,,,,,,,,,,,
Hyderabad,16/01/18,135,74.25,145.8,112.05,153.9,1.42,128.25,,,,,,,,,,,,,
Hyderabad,17/01/18,124,68.2,133.92,102.92,141.36,1.3,117.8,,,,,,,,,,,,,
Hyderabad,18/01/18,130,71.5,140.4,107.9,148.2,1.37,123.5,,,,,,,,,,,,,
Hyderabad,19/01/18,128,70.4,138.24,106.24,145.92,1.34,121.6,,,,,,,,,,,,,
Hyderabad,20/01/18,134,73.7,144.72,111.22,152.76,1.41,127.3,,,,,,,,,,,,,
Hyderabad,21/01/18,135,74.25,145.8,112.05,153.9,1.42,128.25,,,,,,,,,,,,,
Hyderabad,22/01/18,151,83.05,163.08,125.33,172.14,1.59,143.45,,,,,,,,,,,,,
Hyderabad,23/01/18,120,66,129.6,99.6,136.8,1.26,114,,,,,,,,,,,,,
Hyderabad,24/01/18,123,67.65,132.84,102.09,140.22,1.29,116.85,,,,,,,,,,,,,
Hyderabad,25/01/18,143,78.65,154.44,118.69,163.02,1.5,135.85,,,,,,,,,,,,,
Hyderabad,26/01/18,148,81.4,159.84,122.84,168.72,1.55,140.6,,,,,,,,,,,,,
Hyderabad,27/01/18,148,81.4,159.84,122.84,168.72,1.55,140.6,,,,,,,,,,,,,
Hyderabad,28/01/18,137,75.35,147.96,113.71,156.18,1.44,130.15,,,,,,,,,,,,,
Hyderabad,29/01/18,141,77.55,152.28,117.03,160.74,1.48,133.95,,,,,,,,,,,,,
Hyderabad,30/01/18,143,78.65,154.44,118.69,163.02,1.5,135.85,,,,,,,,,,,,,
Hyderabad,31/01/18,126,69.3,136.08,104.58,143.64,1.32,119.7,,,,,,,,,,,,,
Hyderabad,01/02/18,117,64.35,126.36,97.11,133.38,1.23,111.15,,,,,,,,,,,,,
Hyderabad,02/02/18,115,63.25,124.2,95.45,131.1,1.21,109.25,,,,,,,,,,,,,
Hyderabad,03/02/18,107,58.85,115.56,88.81,121.98,1.12,101.65,,,,,,,,,,,,,
Hyderabad,04/02/18,103,56.65,111.24,85.49,117.42,1.08,97.85,,,,,,,,,,,,,
Hyderabad,05/02/18,122,67.1,131.76,101.26,139.08,1.28,115.9,,,,,,,,,,,,,
Hyderabad,06/02/18,116,63.8,125.28,96.28,132.24,1.22,110.2,,,,,,,,,,,,,
Hyderabad,07/02/18,138,75.9,149.04,114.54,157.32,1.45,131.1,,,,,,,,,,,,,
Hyderabad,08/02/18,104,57.2,112.32,86.32,118.56,1.09,98.8,,,,,,,,,,,,,
Hyderabad,09/02/18,105,57.75,113.4,87.15,119.7,1.1,99.75,,,,,,,,,,,,,
Hyderabad,10/02/18,115,63.25,124.2,95.45,131.1,1.21,109.25,,,,,,,,,,,,,
Hyderabad,11/02/18,102,56.1,110.16,84.66,116.28,1.07,96.9,,,,,,,,,,,,,
Hyderabad,12/02/18,100,55,108,83,114,1.05,95,,,,,,,,,,,,,
Hyderabad,13/02/18,99,54.45,106.92,82.17,112.86,1.04,94.05,,,,,,,,,,,,,
Hyderabad,14/02/18,97,53.35,104.76,80.51,110.58,1.02,92.15,,,,,,,,,,,,,
Hyderabad,15/02/18,115,63.25,124.2,95.45,131.1,1.21,109.25,,,,,,,,,,,,,
Hyderabad,16/02/18,105,57.75,113.4,87.15,119.7,1.1,99.75,,,,,,,,,,,,,
Hyderabad,17/02/18,108,59.4,116.64,89.64,123.12,1.13,102.6,,,,,,,,,,,,,
Hyderabad,18/02/18,118,64.9,127.44,97.94,134.52,1.24,112.1,,,,,,,,,,,,,
Hyderabad,19/02/18,104,57.2,112.32,86.32,118.56,1.09,98.8,,,,,,,,,,,,,
Hyderabad,20/02/18,93,51.15,100.44,77.19,106.02,0.98,88.35,,,,,,,,,,,,,
Hyderabad,21/02/18,108,59.4,116.64,89.64,123.12,1.13,102.6,,,,,,,,,,,,,
Hyderabad,22/02/18,115,63.25,124.2,95.45,131.1,1.21,109.25,,,,,,,,,,,,,
Hyderabad,23/02/18,134,73.7,144.72,111.22,152.76,1.41,127.3,,,,,,,,,,,,,
Hyderabad,24/02/18,102,56.1,110.16,84.66,116.28,1.07,96.9,,,,,,,,,,,,,
Hyderabad,25/02/18,102,56.1,110.16,84.66,116.28,1.07,96.9,,,,,,,,,,,,,
Hyderabad,26/02/18,122,67.1,131.76,101.26,139.08,1.28,115.9,,,,,,,,,,,,,
Hyderabad,27/02/18,129,70.95,139.32,107.07,147.06,1.35,122.55,,,,,,,,,,,,,
Hyderabad,28/02/18,127,69.85,137.16,105.41,144.78,1.33,120.65,,,,,,,,,,,,,
Hyderabad,01/03/18,121,66.55,130.68,100.43,137.94,1.27,114.95,,,,,,,,,,,,,
Hyderabad,02/03/18,116,63.8,125.28,96.28,132.24,1.22,110.2,,,,,,,,,,,,,
Hyderabad,03/03/18,109,59.95,117.72,90.47,124.26,1.14,103.55,,,,,,,,,,,,,
Hyderabad,04/03/18,118,64.9,127.44,97.94,134.52,1.24,112.1,,,,,,,,,,,,,
Hyderabad,05/03/18,105,57.75,113.4,87.15,119.7,1.1,99.75,,,,,,,,,,,,,
Hyderabad,06/03/18,101,55.55,109.08,83.83,115.14,1.06,95.95,,,,,,,,,,,,,
Hyderabad,07/03/18,101,55.55,109.08,83.83,115.14,1.06,95.95,,,,,,,,,,,,,
Hyderabad,08/03/18,107,58.85,115.56,88.81,121.98,1.12,101.65,,,,,,,,,,,,,
Hyderabad,09/03/18,117,64.35,126.36,97.11,133.38,1.23,111.15,,,,,,,,,,,,,
Hyderabad,10/03/18,118,64.9,127.44,97.94,134.52,1.24,112.1,,,,,,,,,,,,,
Hyderabad,11/03/18,117,64.35,126.36,97.11,133.38,1.23,111.15,,,,,,,,,,,,,
Hyderabad,12/03/18,92,50.6,99.36,76.36,104.88,0.97,87.4,,,,,,,,,,,,,
Hyderabad,13/03/18,80,44,86.4,66.4,91.2,0.84,76,,,,,,,,,,,,,
Hyderabad,14/03/18,100,55,108,83,114,1.05,95,,,,,,,,,,,,,
Hyderabad,15/03/18,92,50.6,99.36,76.36,104.88,0.97,87.4,,,,,,,,,,,,,
Hyderabad,16/03/18,122,67.1,131.76,101.26,139.08,1.28,115.9,,,,,,,,,,,,,
Hyderabad,17/03/18,102,56.1,110.16,84.66,116.28,1.07,96.9,,,,,,,,,,,,,
Hyderabad,18/03/18,74,40.7,79.92,61.42,84.36,0.78,70.3,,,,,,,,,,,,,
Hyderabad,19/03/18,87,47.85,93.96,72.21,99.18,0.91,82.65,,,,,,,,,,,,,
Hyderabad,20/03/18,101,55.55,109.08,83.83,115.14,1.06,95.95,,,,,,,,,,,,,
Hyderabad,21/03/18,107,58.85,115.56,88.81,121.98,1.12,101.65,,,,,,,,,,,,,
Hyderabad,22/03/18,132,72.6,142.56,109.56,150.48,1.39,125.4,,,,,,,,,,,,,
Hyderabad,23/03/18,127,69.85,137.16,105.41,144.78,1.33,120.65,,,,,,,,,,,,,
Hyderabad,24/03/18,132,72.6,142.56,109.56,150.48,1.39,125.4,,,,,,,,,,,,,
Hyderabad,25/03/18,139,76.45,150.12,115.37,158.46,1.46,132.05,,,,,,,,,,,,,
Hyderabad,26/03/18,119,65.45,128.52,98.77,135.66,1.25,113.05,,,,,,,,,,,,,
Hyderabad,27/03/18,118,64.9,127.44,97.94,134.52,1.24,112.1,,,,,,,,,,,,,
Hyderabad,28/03/18,118,64.9,127.44,97.94,134.52,1.24,112.1,,,,,,,,,,,,,
Hyderabad,29/03/18,124,68.2,133.92,102.92,141.36,1.3,117.8,,,,,,,,,,,,,
Hyderabad,30/03/18,115,63.25,124.2,95.45,131.1,1.21,109.25,,,,,,,,,,,,,
Hyderabad,31/03/18,108,59.4,116.64,89.64,123.12,1.13,102.6,,,,,,,,,,,,,
Hyderabad,01/04/18,94,51.7,101.52,78.02,107.16,0.99,89.3,,,,,,,,,,,,,
Hyderabad,02/04/18,72,39.6,77.76,59.76,82.08,0.76,68.4,,,,,,,,,,,,,
Hyderabad,03/04/18,97,53.35,104.76,80.51,110.58,1.02,92.15,,,,,,,,,,,,,
Hyderabad,04/04/18,93,51.15,100.44,77.19,106.02,0.98,88.35,,,,,,,,,,,,,
Hyderabad,05/04/18,86,47.3,92.88,71.38,98.04,0.9,81.7,,,,,,,,,,,,,
Hyderabad,06/04/18,97,53.35,104.76,80.51,110.58,1.02,92.15,,,,,,,,,,,,,
Hyderabad,07/04/18,77,42.35,83.16,63.91,87.78,0.81,73.15,,,,,,,,,,,,,
Hyderabad,08/04/18,73,40.15,78.84,60.59,83.22,0.77,69.35,,,,,,,,,,,,,
Hyderabad,09/04/18,101,55.55,109.08,83.83,115.14,1.06,95.95,,,,,,,,,,,,,
Hyderabad,10/04/18,84,46.2,90.72,69.72,95.76,0.88,79.8,,,,,,,,,,,,,
Hyderabad,11/04/18,70,38.5,75.6,58.1,79.8,0.74,66.5,,,,,,,,,,,,,
Hyderabad,12/04/18,72,39.6,77.76,59.76,82.08,0.76,68.4,,,,,,,,,,,,,
Hyderabad,13/04/18,66,36.3,71.28,54.78,75.24,0.69,62.7,,,,,,,,,,,,,
Hyderabad,14/04/18,68,37.4,73.44,56.44,77.52,0.71,64.6,,,,,,,,,,,,,
Hyderabad,15/04/18,60,33,64.8,49.8,68.4,0.63,57,,,,,,,,,,,,,
Hyderabad,16/04/18,100,55,108,83,114,1.05,95,,,,,,,,,,,,,
Hyderabad,17/04/18,87,47.85,93.96,72.21,99.18,0.91,82.65,,,,,,,,,,,,,
Hyderabad,18/04/18,84,46.2,90.72,69.72,95.76,0.88,79.8,,,,,,,,,,,,,
Hyderabad,19/04/18,107,58.85,115.56,88.81,121.98,1.12,101.65,,,,,,,,,,,,,
Hyderabad,20/04/18,113,62.15,122.04,93.79,128.82,1.19,107.35,,,,,,,,,,,,,
Hyderabad,21/04/18,121,66.55,130.68,100.43,137.94,1.27,114.95,,,,,,,,,,,,,
Hyderabad,22/04/18,114,62.7,123.12,94.62,129.96,1.2,108.3,,,,,,,,,,,,,
Hyderabad,23/04/18,82,45.1,88.56,68.06,93.48,0.86,77.9,,,,,,,,,,,,,
Hyderabad,24/04/18,82,45.1,88.56,68.06,93.48,0.86,77.9,,,,,,,,,,,,,
Hyderabad,25/04/18,88,48.4,95.04,73.04,100.32,0.92,83.6,,,,,,,,,,,,,
Hyderabad,26/04/18,90,49.5,97.2,74.7,102.6,0.95,85.5,,,,,,,,,,,,,
Hyderabad,27/04/18,92,50.6,99.36,76.36,104.88,0.97,87.4,,,,,,,,,,,,,
