City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Mumbai,01/01/18,267,146.85,288.36,221.61,304.38,2.8,253.65
Mumbai,02/01/18,235,129.25,253.8,195.05,267.9,2.47,223.25
Mumbai,03/01/18,289,158.95,312.12,239.87,329.46,3.03,274.55
Mumbai,04/01/18,319,175.45,344.52,264.77,363.66,3.35,303.05
Mumbai,05/01/18,205,112.75,221.4,170.15,233.7,2.15,194.75
Mumbai,06/01/18,232,127.6,250.56,192.56,264.48,2.44,220.4
Mumbai,07/01/18,147,80.85,158.76,122.01,167.58,1.54,139.65
Mumbai,08/01/18,183,100.65,197.64,151.89,208.62,1.92,173.85
Mumbai,09/01/18,266,146.3,287.28,220.78,303.24,2.79,252.7
Mumbai,10/01/18,286,157.3,308.88,237.38,326.04,3,271.7
Mumbai,11/01/18,227,124.85,245.16,188.41,258.78,2.38,215.65
Mumbai,12/01/18,219,120.45,236.52,181.77,249.66,2.3,208.05
Mumbai,13/01/18,238,130.9,257.04,197.54,271.32,2.5,226.1
Mumbai,14/01/18,240,132,259.2,199.2,273.6,2.52,228
Mumbai,15/01/18,255,140.25,275.4,211.65,290.7,2.68,242.25
Mumbai,16/01/18,201,110.55,217.08,166.83,229.14,2.11,190.95
Mumbai,17/01/18,167,91.85,180.36,138.61,190.38,1.75,158.65
Mumbai,18/01/18,156,85.8,168.48,129.48,177.84,1.64,148.2
Mumbai,19/01/18,172,94.6,185.76,142.76,196.08,1.81,163.4
Mumbai,20/01/18,180,99,194.4,149.4,205.2,1.89,171
Mumbai,21/01/18,152,83.6,164.16,126.16,173.28,1.6,144.4
Mumbai,22/01/18,187,102.85,201.96,155.21,213.18,1.96,177.65
Mumbai,23/01/18,170,93.5,183.6,141.1,193.8,1.79,161.5
Mumbai,07/02/18,239,131.45,258.12,198.37,272.46,2.51,227.05
Mumbai,08/02/18,349,191.95,376.92,289.67,397.86,3.66,331.55
Mumbai,09/02/18,133,73.15,143.64,110.39,151.62,1.4,126.35
Mumbai,10/02/18,138,75.9,149.04,114.54,157.32,1.45,131.1
Mumbai,11/02/18,106,58.3,114.48,87.98,120.84,1.11,100.7
Mumbai,12/02/18,118,64.9,127.44,97.94,134.52,1.24,112.1
Mumbai,13/02/18,118,64.9,127.44,97.94,134.52,1.24,112.1
Mumbai,14/02/18,207,113.85,223.56,171.81,235.98,2.17,196.65
Mumbai,15/02/18,125,68.75,135,103.75,142.5,1.31,118.75
Mumbai,16/02/18,171,94.05,184.68,141.93,194.94,1.8,162.45
Mumbai,17/02/18,142,78.1,153.36,117.86,161.88,1.49,134.9
Mumbai,18/02/18,145,79.75,156.6,120.35,165.3,1.52,137.75
Mumbai,19/02/18,184,101.2,198.72,152.72,209.76,1.93,174.8
Mumbai,20/02/18,210,115.5,226.8,174.3,239.4,2.21,199.5
Mumbai,21/02/18,197,108.35,212.76,163.51,224.58,2.07,187.15
Mumbai,22/02/18,233,128.15,251.64,193.39,265.62,2.45,221.35
Mumbai,23/02/18,209,114.95,225.72,173.47,238.26,2.19,198.55
Mumbai,24/02/18,212,116.6,228.96,175.96,241.68,2.23,201.4
Mumbai,25/02/18,207,113.85,223.56,171.81,235.98,2.17,196.65
Mumbai,26/02/18,229,125.95,247.32,190.07,261.06,2.4,217.55
Mumbai,27/02/18,270,148.5,291.6,224.1,307.8,2.84,256.5
Mumbai,28/02/18,290,159.5,313.2,240.7,330.6,3.05,275.5
Mumbai,01/03/18,282,155.1,304.56,234.06,321.48,2.96,267.9
Mumbai,02/03/18,340,187,367.2,282.2,387.6,3.57,323
Mumbai,03/03/18,336,184.8,362.88,278.88,383.04,3.53,319.2
Mumbai,04/03/18,156,85.8,168.48,129.48,177.84,1.64,148.2
Mumbai,05/03/18,121,66.55,130.68,100.43,137.94,1.27,114.95
Mumbai,06/03/18,136,74.8,146.88,112.88,155.04,1.43,129.2
Mumbai,07/03/18,125,68.75,135,103.75,142.5,1.31,118.75
Mumbai,08/03/18,153,84.15,165.24,126.99,174.42,1.61,145.35
Mumbai,09/03/18,153,84.15,165.24,126.99,174.42,1.61,145.35
Mumbai,10/03/18,106,58.3,114.48,87.98,120.84,1.11,100.7
Mumbai,11/03/18,140,77,151.2,116.2,159.6,1.47,133
Mumbai,12/03/18,163,89.65,176.04,135.29,185.82,1.71,154.85
Mumbai,13/03/18,131,72.05,141.48,108.73,149.34,1.38,124.45
Mumbai,14/03/18,114,62.7,123.12,94.62,129.96,1.2,108.3
Mumbai,15/03/18,106,58.3,114.48,87.98,120.84,1.11,100.7
Mumbai,16/03/18,171,94.05,184.68,141.93,194.94,1.8,162.45
Mumbai,17/03/18,179,98.45,193.32,148.57,204.06,1.88,170.05
Mumbai,18/03/18,126,69.3,136.08,104.58,143.64,1.32,119.7
Mumbai,19/03/18,93,51.15,100.44,77.19,106.02,0.98,88.35
Mumbai,20/03/18,128,70.4,138.24,106.24,145.92,1.34,121.6
Mumbai,21/03/18,99,54.45,106.92,82.17,112.86,1.04,94.05
Mumbai,22/03/18,139,76.45,150.12,115.37,158.46,1.46,132.05
Mumbai,23/03/18,169,92.95,182.52,140.27,192.66,1.77,160.55
Mumbai,24/03/18,150,82.5,162,124.5,171,1.58,142.5
Mumbai,25/03/18,209,114.95,225.72,173.47,238.26,2.19,198.55
Mumbai,26/03/18,235,129.25,253.8,195.05,267.9,2.47,223.25
Mumbai,27/03/18,227,124.85,245.16,188.41,258.78,2.38,215.65
Mumbai,28/03/18,460,253,496.8,381.8,524.4,4.83,437
Mumbai,29/03/18,142,78.1,153.36,117.86,161.88,1.49,134.9
Mumbai,30/03/18,164,90.2,177.12,136.12,186.96,1.72,155.8
Mumbai,31/03/18,201,110.55,217.08,166.83,229.14,2.11,190.95
Mumbai,01/04/18,188,103.4,203.04,156.04,214.32,1.97,178.6
Mumbai,02/04/18,146,80.3,157.68,121.18,166.44,1.53,138.7
Mumbai,03/04/18,98,53.9,105.84,81.34,111.72,1.03,93.1
Mumbai,04/04/18,88,48.4,95.04,73.04,100.32,0.92,83.6
Mumbai,05/04/18,98,53.9,105.84,81.34,111.72,1.03,93.1
Mumbai,06/04/18,112,61.6,120.96,92.96,127.68,1.18,106.4
Mumbai,07/04/18,108,59.4,116.64,89.64,123.12,1.13,102.6
Mumbai,08/04/18,112,61.6,120.96,92.96,127.68,1.18,106.4
Mumbai,10/04/18,115,63.25,124.2,95.45,131.1,1.21,109.25
Mumbai,11/04/18,110,60.5,118.8,91.3,125.4,1.16,104.5
Mumbai,12/04/18,104,57.2,112.32,86.32,118.56,1.09,98.8
Mumbai,13/04/18,92,50.6,99.36,76.36,104.88,0.97,87.4
Mumbai,14/04/18,93,51.15,100.44,77.19,106.02,0.98,88.35
Mumbai,15/04/18,83,45.65,89.64,68.89,94.62,0.87,78.85
Mumbai,16/04/18,86,47.3,92.88,71.38,98.04,0.9,81.7
Mumbai,17/04/18,101,55.55,109.08,83.83,115.14,1.06,95.95
Mumbai,18/04/18,100,55,108,83,114,1.05,95
Mumbai,11/05/18,77,42.35,83.16,63.91,87.78,0.81,73.15
Mumbai,16/05/18,62,34.1,66.96,51.46,70.68,0.65,58.9
Mumbai,17/05/18,80,44,86.4,66.4,91.2,0.84,76
Mumbai,18/05/18,82,45.1,88.56,68.06,93.48,0.86,77.9
Mumbai,18/06/18,86,47.3,92.88,71.38,98.04,0.9,81.7
Mumbai,01/08/18,73,40.15,78.84,60.59,83.22,0.77,69.35
Mumbai,03/08/18,79,43.45,85.32,65.57,90.06,0.83,75.05
Mumbai,04/08/18,66,36.3,71.28,54.78,75.24,0.69,62.7
Mumbai,05/08/18,60,33,64.8,49.8,68.4,0.63,57
Mumbai,06/08/18,65,35.75,70.2,53.95,74.1,0.68,61.75
Mumbai,07/08/18,66,36.3,71.28,54.78,75.24,0.69,62.7
Mumbai,08/08/18,65,35.75,70.2,53.95,74.1,0.68,61.75
Mumbai,09/08/18,65,35.75,70.2,53.95,74.1,0.68,61.75
Mumbai,10/08/18,63,34.65,68.04,52.29,71.82,0.66,59.85
Mumbai,11/08/18,64,35.2,69.12,53.12,72.96,0.67,60.8
Mumbai,12/08/18,66,36.3,71.28,54.78,75.24,0.69,62.7
Mumbai,14/08/18,417,229.35,450.36,346.11,475.38,4.38,396.15
Mumbai,15/08/18,94,51.7,101.52,78.02,107.16,0.99,89.3
Mumbai,16/08/18,100,55,108,83,114,1.05,95
Mumbai,17/08/18,82,45.1,88.56,68.06,93.48,0.86,77.9
Mumbai,18/08/18,76,41.8,82.08,63.08,86.64,0.8,72.2
Mumbai,19/08/18,82,45.1,88.56,68.06,93.48,0.86,77.9
Mumbai,20/08/18,75,41.25,81,62.25,85.5,0.79,71.25
Mumbai,21/08/18,82,45.1,88.56,68.06,93.48,0.86,77.9
Mumbai,22/08/18,66,36.3,71.28,54.78,75.24,0.69,62.7
Mumbai,23/08/18,73,40.15,78.84,60.59,83.22,0.77,69.35
Mumbai,25/08/18,67,36.85,72.36,55.61,76.38,0.7,63.65
Mumbai,26/08/18,70,38.5,75.6,58.1,79.8,0.74,66.5
Mumbai,27/08/18,76,41.8,82.08,63.08,86.64,0.8,72.2
Mumbai,28/08/18,78,42.9,84.24,64.74,88.92,0.82,74.1
Mumbai,29/08/18,78,42.9,84.24,64.74,88.92,0.82,74.1
Mumbai,30/08/18,74,40.7,79.92,61.42,84.36,0.78,70.3
Mumbai,31/08/18,69,37.95,74.52,57.27,78.66,0.72,65.55
Mumbai,01/09/18,67,36.85,72.36,55.61,76.38,0.7,63.65
Mumbai,02/09/18,66,36.3,71.28,54.78,75.24,0.69,62.7
Mumbai,03/09/18,64,35.2,69.12,53.12,72.96,0.67,60.8
Mumbai,04/09/18,68,37.4,73.44,56.44,77.52,0.71,64.6
Mumbai,05/09/18,66,36.3,71.28,54.78,75.24,0.69,62.7
Mumbai,06/09/18,81,44.55,87.48,67.23,92.34,0.85,76.95
Mumbai,07/09/18,93,51.15,100.44,77.19,106.02,0.98,88.35
Mumbai,08/09/18,109,59.95,117.72,90.47,124.26,1.14,103.55
Mumbai,09/09/18,94,51.7,101.52,78.02,107.16,0.99,89.3
Mumbai,10/09/18,87,47.85,93.96,72.21,99.18,0.91,82.65
Mumbai,11/09/18,103,56.65,111.24,85.49,117.42,1.08,97.85
Mumbai,12/09/18,98,53.9,105.84,81.34,111.72,1.03,93.1
Mumbai,13/09/18,103,56.65,111.24,85.49,117.42,1.08,97.85
Mumbai,14/09/18,110,60.5,118.8,91.3,125.4,1.16,104.5
Mumbai,15/09/18,112,61.6,120.96,92.96,127.68,1.18,106.4
Mumbai,16/09/18,72,39.6,77.76,59.76,82.08,0.76,68.4
Mumbai,17/09/18,109,59.95,117.72,90.47,124.26,1.14,103.55
Mumbai,18/09/18,142,78.1,153.36,117.86,161.88,1.49,134.9
Mumbai,19/09/18,73,40.15,78.84,60.59,83.22,0.77,69.35
Mumbai,20/09/18,84,46.2,90.72,69.72,95.76,0.88,79.8
Mumbai,21/09/18,106,58.3,114.48,87.98,120.84,1.11,100.7
Mumbai,23/09/18,94,51.7,101.52,78.02,107.16,0.99,89.3
Mumbai,24/09/18,90,49.5,97.2,74.7,102.6,0.95,85.5
Mumbai,25/09/18,124,68.2,133.92,102.92,141.36,1.3,117.8
Mumbai,26/09/18,111,61.05,119.88,92.13,126.54,1.17,105.45
Mumbai,27/09/18,142,78.1,153.36,117.86,161.88,1.49,134.9
Mumbai,01/10/18,109,59.95,117.72,90.47,124.26,1.14,103.55
Mumbai,02/10/18,144,79.2,155.52,119.52,164.16,1.51,136.8
Mumbai,03/10/18,130,71.5,140.4,107.9,148.2,1.37,123.5
Mumbai,04/10/18,123,67.65,132.84,102.09,140.22,1.29,116.85
Mumbai,05/10/18,127,69.85,137.16,105.41,144.78,1.33,120.65
Mumbai,06/10/18,116,63.8,125.28,96.28,132.24,1.22,110.2
Mumbai,07/10/18,109,59.95,117.72,90.47,124.26,1.14,103.55
Mumbai,08/10/18,131,72.05,141.48,108.73,149.34,1.38,124.45
Mumbai,09/10/18,165,90.75,178.2,136.95,188.1,1.73,156.75
Mumbai,12/10/18,163,89.65,176.04,135.29,185.82,1.71,154.85
Mumbai,13/10/18,167,91.85,180.36,138.61,190.38,1.75,158.65
Mumbai,14/10/18,98,53.9,105.84,81.34,111.72,1.03,93.1
Mumbai,23/10/18,168,92.4,181.44,139.44,191.52,1.76,159.6
Mumbai,26/10/18,119,65.45,128.52,98.77,135.66,1.25,113.05
Mumbai,27/10/18,115,63.25,124.2,95.45,131.1,1.21,109.25
Mumbai,01/11/18,100,55,108,83,114,1.05,95
Mumbai,03/11/18,149,81.95,160.92,123.67,169.86,1.56,141.55
Mumbai,04/11/18,423,232.65,456.84,351.09,482.22,4.44,401.85
Mumbai,05/11/18,275,151.25,297,228.25,313.5,2.89,261.25
Mumbai,06/11/18,395,217.25,426.6,327.85,450.3,4.15,375.25
Mumbai,07/11/18,185,101.75,199.8,153.55,210.9,1.94,175.75
Mumbai,08/11/18,156,85.8,168.48,129.48,177.84,1.64,148.2
Mumbai,10/11/18,170,93.5,183.6,141.1,193.8,1.79,161.5
Mumbai,11/11/18,135,74.25,145.8,112.05,153.9,1.42,128.25
Mumbai,12/11/18,143,78.65,154.44,118.69,163.02,1.5,135.85
Mumbai,13/11/18,155,85.25,167.4,128.65,176.7,1.63,147.25
Mumbai,14/11/18,210,115.5,226.8,174.3,239.4,2.21,199.5
Mumbai,21/11/18,177,97.35,191.16,146.91,201.78,1.86,168.15
Mumbai,23/11/18,150,82.5,162,124.5,171,1.58,142.5
Mumbai,25/11/18,186,102.3,200.88,154.38,212.04,1.95,176.7
Mumbai,26/11/18,163,89.65,176.04,135.29,185.82,1.71,154.85
Mumbai,01/12/18,167,91.85,180.36,138.61,190.38,1.75,158.65
Mumbai,02/12/18,183,100.65,197.64,151.89,208.62,1.92,173.85
Mumbai,03/12/18,204,112.2,220.32,169.32,232.56,2.14,193.8
Mumbai,04/12/18,194,106.7,209.52,161.02,221.16,2.04,184.3
Mumbai,05/12/18,190,104.5,205.2,157.7,216.6,2,180.5
Mumbai,06/12/18,243,133.65,262.44,201.69,277.02,2.55,230.85
Mumbai,07/12/18,182,100.1,196.56,151.06,207.48,1.91,172.9
Mumbai,08/12/18,193,106.15,208.44,160.19,220.02,2.03,183.35
Mumbai,09/12/18,187,102.85,201.96,155.21,213.18,1.96,177.65
Mumbai,10/12/18,173,95.15,186.84,143.59,197.22,1.82,164.35
Mumbai,11/12/18,175,96.25,189,145.25,199.5,1.84,166.25
Mumbai,12/12/18,145,79.75,156.6,120.35,165.3,1.52,137.75
Mumbai,13/12/18,153,84.15,165.24,126.99,174.42,1.61,145.35
Mumbai,14/12/18,141,77.55,152.28,117.03,160.74,1.48,133.95
Mumbai,15/12/18,142,78.1,153.36,117.86,161.88,1.49,134.9
Mumbai,16/12/18,142,78.1,153.36,117.86,161.88,1.49,134.9
Mumbai,17/12/18,130,71.5,140.4,107.9,148.2,1.37,123.5
Mumbai,18/12/18,189,103.95,204.12,156.87,215.46,1.98,179.55
Mumbai,19/12/18,196,107.8,211.68,162.68,223.44,2.06,186.2
Mumbai,20/12/18,171,94.05,184.68,141.93,194.94,1.8,162.45
Mumbai,21/12/18,173,95.15,186.84,143.59,197.22,1.82,164.35
Mumbai,22/12/18,187,102.85,201.96,155.21,213.18,1.96,177.65
Mumbai,23/12/18,278,152.9,300.24,230.74,316.92,2.92,264.1
Mumbai,24/12/18,290,159.5,313.2,240.7,330.6,3.05,275.5
Mumbai,25/12/18,269,147.95,290.52,223.27,306.66,2.82,255.55
Mumbai,26/12/18,168,92.4,181.44,139.44,191.52,1.76,159.6
Mumbai,27/12/18,139,76.45,150.12,115.37,158.46,1.46,132.05
Mumbai,28/12/18,150,82.5,162,124.5,171,1.58,142.5
Mumbai,29/12/18,154,84.7,166.32,127.82,175.56,1.62,146.3
Mumbai,30/12/18,190,104.5,205.2,157.7,216.6,2,180.5
Mumbai,31/12/18,241,132.55,260.28,200.03,274.74,2.53,228.95
Mumbai,01/01/19,194,106.7,209.52,161.02,221.16,2.04,184.3
Mumbai,02/01/19,180,99,194.4,149.4,205.2,1.89,171
Mumbai,03/01/19,267,146.85,288.36,221.61,304.38,2.8,253.65
Mumbai,04/01/19,223,122.65,240.84,185.09,254.22,2.34,211.85
Mumbai,05/01/19,178,97.9,192.24,147.74,202.92,1.87,169.1
Mumbai,06/01/19,192,105.6,207.36,159.36,218.88,2.02,182.4
Mumbai,07/01/19,146,80.3,157.68,121.18,166.44,1.53,138.7
Mumbai,08/01/19,161,88.55,173.88,133.63,183.54,1.69,152.95
Mumbai,09/01/19,154,84.7,166.32,127.82,175.56,1.62,146.3
Mumbai,10/01/19,219,120.45,236.52,181.77,249.66,2.3,208.05
Mumbai,11/01/19,212,116.6,228.96,175.96,241.68,2.23,201.4
Mumbai,12/01/19,200,110,216,166,228,2.1,190
Mumbai,13/01/19,206,113.3,222.48,170.98,234.84,2.16,195.7
Mumbai,14/01/19,163,89.65,176.04,135.29,185.82,1.71,154.85
Mumbai,15/01/19,163,89.65,176.04,135.29,185.82,1.71,154.85
Mumbai,16/01/19,163,89.65,176.04,135.29,185.82,1.71,154.85
Mumbai,17/01/19,193,106.15,208.44,160.19,220.02,2.03,183.35
Mumbai,18/01/19,207,113.85,223.56,171.81,235.98,2.17,196.65
Mumbai,19/01/19,202,111.1,218.16,167.66,230.28,2.12,191.9
Mumbai,20/01/19,251,138.05,271.08,208.33,286.14,2.64,238.45
Mumbai,21/01/19,137,75.35,147.96,113.71,156.18,1.44,130.15
Mumbai,22/01/19,108,59.4,116.64,89.64,123.12,1.13,102.6
Mumbai,23/01/19,93,51.15,100.44,77.19,106.02,0.98,88.35
Mumbai,24/01/19,134,73.7,144.72,111.22,152.76,1.41,127.3
Mumbai,25/01/19,123,67.65,132.84,102.09,140.22,1.29,116.85
Mumbai,26/01/19,115,63.25,124.2,95.45,131.1,1.21,109.25
Mumbai,27/01/19,110,60.5,118.8,91.3,125.4,1.16,104.5
Mumbai,28/01/19,110,60.5,118.8,91.3,125.4,1.16,104.5
Mumbai,29/01/19,118,64.9,127.44,97.94,134.52,1.24,112.1
Mumbai,30/01/19,156,85.8,168.48,129.48,177.84,1.64,148.2
Mumbai,31/01/19,153,84.15,165.24,126.99,174.42,1.61,145.35
Mumbai,01/02/19,153,84.15,165.24,126.99,174.42,1.61,145.35
Mumbai,02/02/19,158,86.9,170.64,131.14,180.12,1.66,150.1
Mumbai,03/02/19,204,112.2,220.32,169.32,232.56,2.14,193.8
Mumbai,04/02/19,197,108.35,212.76,163.51,224.58,2.07,187.15
Mumbai,05/02/19,159,87.45,171.72,131.97,181.26,1.67,151.05
Mumbai,06/02/19,153,84.15,165.24,126.99,174.42,1.61,145.35
Mumbai,07/02/19,90,49.5,97.2,74.7,102.6,0.95,85.5
Mumbai,08/02/19,162,89.1,174.96,134.46,184.68,1.7,153.9
Mumbai,09/02/19,159,87.45,171.72,131.97,181.26,1.67,151.05
Mumbai,10/02/19,187,102.85,201.96,155.21,213.18,1.96,177.65
Mumbai,11/02/19,225,123.75,243,186.75,256.5,2.36,213.75
Mumbai,12/02/19,219,120.45,236.52,181.77,249.66,2.3,208.05
Mumbai,13/02/19,175,96.25,189,145.25,199.5,1.84,166.25
Mumbai,14/02/19,97,53.35,104.76,80.51,110.58,1.02,92.15
Mumbai,15/02/19,108,59.4,116.64,89.64,123.12,1.13,102.6
Mumbai,16/02/19,124,68.2,133.92,102.92,141.36,1.3,117.8
Mumbai,17/02/19,173,95.15,186.84,143.59,197.22,1.82,164.35
Mumbai,18/02/19,133,73.15,143.64,110.39,151.62,1.4,126.35
Mumbai,19/02/19,166,91.3,179.28,137.78,189.24,1.74,157.7
Mumbai,20/02/19,156,85.8,168.48,129.48,177.84,1.64,148.2
Mumbai,21/02/19,90,49.5,97.2,74.7,102.6,0.95,85.5
Mumbai,22/02/19,83,45.65,89.64,68.89,94.62,0.87,78.85
Mumbai,23/02/19,173,95.15,186.84,143.59,197.22,1.82,164.35
Mumbai,24/02/19,124,68.2,133.92,102.92,141.36,1.3,117.8
Mumbai,25/02/19,103,56.65,111.24,85.49,117.42,1.08,97.85
Mumbai,26/02/19,115,63.25,124.2,95.45,131.1,1.21,109.25
Mumbai,27/02/19,104,57.2,112.32,86.32,118.56,1.09,98.8
Mumbai,02/03/19,207,113.85,223.56,171.81,235.98,2.17,196.65
